Taxon,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop,SRSex,GRSex,ERSex,FCSex,FCSex priority category,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCSc_min,FCSc_max,FCSc mean,FCSc_min priority category,FCSc_max priority category,FCSc mean priority category,EOO status,AOO status,Combined threat assessment status,file_path
Acer saccharum,1A,Food,Sugars,Acer,Sugar maple,1.81140579,0.0,0.0,0.60380193,UP,4.244954767,4.025051327,97.2972973,35.18910113,HP,0.60380193,35.18910113,0.60380193,35.18910113,17.89645153,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Acer/Acer saccharum_Run20200203_2020-08-18.html
Acer saccharum subsp. floridanum,1A,Food,Sugars,Acer,Sugar maple,1.4831460669999998,0.0,0.0,0.494382022,UP,1.910828025,2.599532187,83.33333333,29.28123118,HP,0.494382022,29.28123118,0.494382022,29.28123118,14.8878066,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. floridanum_Run20200203_2020-08-17.html
Acer saccharum subsp. leucoderme,1A,Food,Sugars,Acer,Sugar maple,2.310654685,3.1215950660000003,18.18181818,7.871355977999999,UP,9.036144578,3.766367206,90.90909091,34.57053423,HP,7.871355977999999,34.57053423,7.871355977999999,34.57053423,21.2209451,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. leucoderme_Run20200203_2020-08-17.html
Acer saccharum subsp. nigrum,1A,Food,Sugars,Acer,Sugar maple,3.134479272,0.966160365,10.0,4.700213212,UP,2.909090909,2.55568732,95.0,33.48825941,HP,4.700213212,33.48825941,4.700213212,33.48825941,19.09423631,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. nigrum_Run20200203_2020-08-17.html
Acer saccharum subsp. ozarkense,1A,Food,Sugars,Acer,Sugar maple,0.0,0.0,0.0,0.0,UP,0.0,,,0.0,UP,0.0,0.0,0.0,0.0,0.0,HP,HP,HP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Acer/Acer saccharum subsp. ozarkense_Run20200203_2020-08-17.html
Acer saccharum subsp. saccharum,1A,Food,Sugars,Acer,Sugar maple,1.826846704,0.0,0.0,0.608948901,UP,4.347826087,4.581083236,85.0,31.30963644,HP,0.608948901,31.30963644,0.608948901,31.30963644,15.95929267,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. saccharum_Run20200203_2020-08-18.html
Allium aaseae,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.409090909,41.28793111,100.0,48.23234067,HP,12.5,9.638504182,100.0,40.71283473,HP,48.23234067,40.71283473,40.71283473,48.23234067,44.47258770000001,HP,HP,HP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium aaseae_Run20200203_2020-08-17.html
Allium acuminatum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.088169643,14.74546907,37.5,17.77787957,UP,10.62618596,10.295407,95.83333333,38.91830877,HP,17.77787957,38.91830877,17.77787957,38.91830877,28.34809417,UP,HP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Allium/Allium acuminatum_Run20200203_2020-08-17.html
Allium amplectens,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.300954033,17.749744500000006,69.23076923,29.42715592,HP,8.352668213,9.745696242000001,100.0,39.36612149,HP,29.42715592,39.36612149,29.42715592,39.36612149,34.396638700000004,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium amplectens_Run20200203_2020-08-17.html
Allium bigelovii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.775193798,8.827123967999999,33.33333333,14.3118837,UP,25.0,3.909211747,66.66666667,31.85862614,HP,14.3118837,31.85862614,14.3118837,31.85862614,23.08525492,UP,HP,UP,Vulnerable (VU),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium bigelovii_Run20200203_2020-08-17.html
